influences,isInfluenced,rel,description
displacement from other fisheries,number of longline fishermen,0,
level of regulations,number of longline fishermen,0,
recreational landings,local dolphin and wahoo abundance,0,
range of recreational fishing,recreational landings,0,
fishing effort Gulf of Guinea,YFT population size,0,
season length for YFT,recreational fishing effort on dolphin and wahoo,0,
risk,range of recreational fishing,0,
number of recreational fishermen,range of recreational fishing,0,
number of recreational fishermen,recreational fishing effort on dolphin and wahoo,0,
economy,number of recreational fishermen,0,
economy,demand for charter trips,0,
urban access to coast,recreational fishing effort on dolphin and wahoo,0,
sewage regulation,coastal development,0,
coastal development,number of local fishermen,0,
wahoo catchability,recreational landings,0,
presence of large sargassum mats,wahoo catchability,0.28,
presence of large sargassum mats,availability of bait fish,0,
presence of large sargassum mats,dolphin catchability,1,
winds,presence of large sargassum mats,0,
winds,recreational fishing effort on dolphin and wahoo,0,
recreational fishing effort on dolphin and wahoo,recreational landings,0,
currents,presence of large sargassum mats,0,
availability of bait fish,wahoo catchability,0,
availability of bait fish,dolphin catchability,0,
temperature breaks,wahoo catchability,0,
temperature breaks,dolphin catchability,0,
Gulf Stream eddies,temperature breaks,0,
tourist demand for meat,customer satisfaction,0,
tastiness and desirability,price of dolphin,0,
low entry costs,number of longline fishermen,0,
international supply,price of dolphin,0,
fuel price,recreational fishing effort on dolphin and wahoo,0,
fuel price,profits,0,
tournaments,economic impact of NC charter industry,0,
cost of bait,profits,0,
availability of third party booking,profits,0,
seasonal migration,ability to catch dolphin and wahoo through year,0,
technology,range of recreational fishing,0,
technology,wahoo catchability,0,
technology,dolphin catchability,0,
availability of info social media,risk,0,
availability of info social media,recreational fishing effort on dolphin and wahoo,0,
customer satisfaction,demand for charter trips,0,
size and bag limits,customer satisfaction,0,
size and bag limits,ability to catch dolphin and wahoo through year,0,
price of dolphin,number of longline fishermen,0,
number of longline fishermen,commercial fishing effort,0,
commercial fishing effort,bycatch of billfish turtle dolphins,0,
commercial fishing effort,local dolphin and wahoo abundance,0,
number of local fishermen,recreational fishing effort on dolphin and wahoo,0,
demand for charter trips,recreational fishing effort on dolphin and wahoo,0,
demand for charter trips,economic impact of NC charter industry,0,
demand for charter trips,profits,0,
YFT population size,season length for YFT,0,
hurricanes,profits,0,
ability to catch dolphin and wahoo through year,effort shift to trigger and beeliner,0,
ability to catch dolphin and wahoo through year,customer satisfaction,0,
dolphin catchability,recreational landings,0,
