,tropical weather systems,Gulf Stream position ,Gulf Stream eddies,wind strength,temperature breaks,water clarity,availability of bait fish,presence of surface objects,local large dolphin abundance,local small dolphin abundance,use of circle hooks,fishing efficiency,total dolphin population abundance,demand for charter trips,marlin availability,UNKNOWN,temperature,seasonal migration,demand for charter trips,social media presence,customer satisfaction,trip activity excitement,total local dolphin landings,number of tournaments,private landings,private recreational effort,distance from fish,weather,desirability for meat,number of charter trips,concentration of dolphin,shark abundance,commercial fishing effort,charter landings
tropical weather systems,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf Stream position ,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf Stream eddies,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
wind strength,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
temperature breaks,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
water clarity,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
availability of bait fish,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
presence of surface objects,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
local large dolphin abundance,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
local small dolphin abundance,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
use of circle hooks,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
fishing efficiency,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
total dolphin population abundance,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
demand for charter trips,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
marlin availability,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,
UNKNOWN,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
temperature,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,
seasonal migration,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
demand for charter trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
social media presence,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,
customer satisfaction,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
trip activity excitement,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
total local dolphin landings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number of tournaments,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
private landings,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
private recreational effort,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
distance from fish,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
weather,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
desirability for meat,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,
number of charter trips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
concentration of dolphin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
shark abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
commercial fishing effort,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
charter landings,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,
