,catch-per-unit-effort,regulations,sharks,local business profit,"propaganda""""",migratory patterns,range shifts,tournaments,sargassum habitat,local wahoo abundance,accountability,different soc patterns of areas of SE,trust and buy-in,weather,Gulf Stream,temperature,no stock assessment,seasonal changes,international effort,unreported catch,international bycatch,import price,lack of data on private recreational catch,local dolphin abundance,inability to manage,regulations on bait,social media,private recreational effort,charter CPUE,charter landings,abundance in other regions,FL abundance,commercial catch,large dolphin local abundance,economic growth,lack of regulation,mobility of recreational anglers,blueline tilefish closure,number of council boats,regulation level,quality of information,bag limits,demand for charter trips,charter effort,charter business,community conflict,seafood imports,seafood supply,PLL effort,commercial effort (council),bycatch of sharks etc,coastal development,gear and hook restrictions,unreported sales,tuna availability,dolphin population abundance,PLL catch,fishing power
catch-per-unit-effort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
regulations,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharks,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local business profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"propaganda""""",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
migratory patterns,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
range shifts,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournaments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sargassum habitat,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local wahoo abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accountability,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
different soc patterns of areas of SE,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trust and buy-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
