influences,isInfluenced,rel,description
PLL CPUE,PLL catch,0,
regulations,sharks,0,
sharks,PLL CPUE,0,
sharks,charter CPUE,0,
sharks,Council boat CPUE,0,
propaganda,regulations,0,
migratory patterns,local wahoo abundance,0,
migratory patterns,local dolphin abundance,0,
range shifts,migratory patterns,0,
sargassum habitat,local wahoo abundance,0,
sargassum habitat,local dolphin abundance,0,
accountability,trust and buy in,0,
accountability,inability to manage,0,
different soc patterns of areas of SE,lack of data on private recreational catch,0,
trust and buy in,community conflict,0,
weather,sargassum habitat,0,
Gulf Stream,sargassum habitat,0,
temperature,sargassum habitat,0,
no stock assessment,inability to manage,0,
seasonal changes,migratory patterns,0,
international effort,unreported catch,0,
international effort,international bycatch,0,
international effort,import price,0,
international effort,dolphin population abundance,0,
unreported catch,import price,0,
international bycatch,import price,0,
import price,local business profit,0,
lack of data on private recreational catch,accountability,0,
lack of data on private recreational catch,inability to manage,0,
local dolphin abundance,tournaments,0,
local dolphin abundance,charter business,0,
local dolphin abundance,community conflict,0,
inability to manage,lack of regulation,0,
regulations on bait,PLL CPUE,0,
social media,private recreational effort,0,
social media,charter business,0,
social media,community conflict,0,
private recreational effort,local wahoo abundance,0,
private recreational effort,local dolphin abundance,0,
private recreational effort,unreported sales,0,
charter CPUE,charter landings,0,
charter landings,local dolphin abundance,0,
abundance in other regions,local dolphin abundance,0,
FL abundance,local dolphin abundance,0,
council boat catch,local dolphin abundance,0,
council boat catch,seafood supply,0,
large dolphin local abundance,local dolphin abundance,0,
large dolphin local abundance,demand for charter trips,0,
economic growth,private recreational effort,0,
lack of regulation,lack of data on private recreational catch,0,
lack of regulation,private recreational effort,0,
mobility of recreational anglers,private recreational effort,0,
blueline tilefish closure,number of council  boats,0,
number of council  boats,commercial effort council,0,
regulation level,number of council  boats,0,
quality of information,regulation level,0,
bag limits,demand for charter trips,0,
demand for charter trips,charter effort,0,
charter effort,charter landings,0,
seafood imports,seafood supply,0,
PLL effort,bycatch of sharks etc,0,
PLL effort,PLL catch,0,
commercial effort council,council boat catch,0,
coastal development,private recreational effort,0,
gear and hook restrictions,PLL CPUE,0,
gear and hook restrictions,bycatch of sharks etc,0,
tuna availability,charter effort,0,
tuna availability,PLL effort,0,
tuna availability,commercial effort council,0,
dolphin population abundance,abundance in other regions,0,
dolphin population abundance,FL abundance,0,
PLL catch,large dolphin local abundance,0,
PLL catch,seafood supply,0,
fishing power,private recreational effort,0,
Council boat CPUE,council boat catch,0,
