term,wkshp,newterm,notes
displacement from other fisheries,BFT,,
level of regulations,BFT,,
recreational landings,BFT,,
range of recreational fishing,BFT,,
fishing effort Gulf of Guinea,BFT,,
season length for YFT,BFT,,
risk,BFT,,
number of recreational fishermen,BFT,,
economy,BFT,,
urban access to coast,BFT,,
sewage regulation,BFT,,
coastal development,BFT,,
wahoo catchability,BFT,,
presence of large sargassum mats,BFT,,
winds,BFT,,
recreational fishing effort on dolphin and wahoo,BFT,,
currents,BFT,,
availability of bait fish,BFT,,
temperature breaks,BFT,,
Gulf Stream eddies,BFT,,
tourist demand for meat,BFT,,
effort shift to trigger and beeliner,BFT,,
tastiness and desirability,BFT,,
bycatch of billfish turtle dolphins,BFT,,
low entry costs,BFT,,
international supply,BFT,,
fuel price,BFT,,
tournaments,BFT,,
cost of bait,BFT,,
availability of third party booking,BFT,,
seasonal migration,BFT,,
economic impact of NC charter industry,BFT,,
technology,BFT,,
availability of info social media,BFT,,
customer satisfaction,BFT,,
size and bag limits,BFT,,
price of dolphin,BFT,,
number of longline fishermen,BFT,,
commercial fishing effort,BFT,,
number of local fishermen,BFT,,
local dolphin and wahoo abundance,BFT,,
demand for charter trips,BFT,,
YFT population size,BFT,,
profits,BFT,,
hurricanes,BFT,,
ability to catch dolphin and wahoo through year,BFT,,
dolphin catchability,BFT,,
PLL CPUE,WAN,,
regulations,WAN,,
sharks,WAN,,
local business profit,WAN,,
propaganda,WAN,,
migratory patterns,WAN,,
range shifts,WAN,,
tournaments,WAN,,
sargassum habitat,WAN,,
local wahoo abundance,WAN,,
accountability,WAN,,
different soc patterns of areas of SE,WAN,,
trust and buy in,WAN,,
weather,WAN,,
Gulf Stream,WAN,,
temperature,WAN,,
no stock assessment,WAN,,
seasonal changes,WAN,,
international effort,WAN,,
unreported catch,WAN,,
international bycatch,WAN,,
import price,WAN,,
lack of data on private recreational catch,WAN,,
local dolphin abundance,WAN,,
inability to manage,WAN,,
regulations on bait,WAN,,
social media,WAN,,
private recreational effort,WAN,,
charter CPUE,WAN,,
charter landings,WAN,,
abundance in other regions,WAN,,
FL abundance,WAN,,
council boat catch,WAN,,
large dolphin local abundance,WAN,,
economic growth,WAN,,
lack of regulation,WAN,,
mobility of recreational anglers,WAN,,
blueline tilefish closure,WAN,,
number of council  boats,WAN,,
regulation level,WAN,,
quality of information,WAN,,
bag limits,WAN,,
demand for charter trips,WAN,,
charter effort,WAN,,
charter business,WAN,,
community conflict,WAN,,
seafood imports,WAN,,
seafood supply,WAN,,
PLL effort,WAN,,
commercial effort council,WAN,,
bycatch of sharks etc,WAN,,
coastal development,WAN,,
gear and hook restrictions,WAN,,
unreported sales,WAN,,
tuna availability,WAN,,
dolphin population abundance,WAN,,
PLL catch,WAN,,
fishing power,WAN,,
Council boat CPUE,WAN,,
tropical weather systems,VB,,
Gulf Stream,VB,,
eddies,VB,,
wind,VB,,
temperature breaks,VB,,
water clarity,VB,,
bait concentration,VB,,
surface objects,VB,,
availability of large gaffer dolphin,VB,,
availability of small dolphin,VB,,
use of circle hooks,VB,,
fishing efficiency,VB,,
dolphin population abundance,VB,,
consumer demand,VB,,
tuna and marlin fishing opportunity,VB,,
?,VB,,
water temperature,VB,,
seasonal migrations,VB,,
charter demand,VB,,
pictures on social media,VB,,
consumer satisfaction,VB,,
trip activity excitement,VB,,
total local dolphin landings,VB,,
tournaments,VB,,
private landings,VB,,
private angler effort,VB,,
distance from fish,VB,,
weather,VB,,
desirability for eating,VB,,
number of charter trips,VB,,
concentration of dolphin,VB,,
shark abundance,VB,,
commercial fishing effort,VB,,
charter landings,VB,,
